period_of_report,fiscal_year,Revenues,NetIncomeLoss,GrossProfit,CostOfRevenue,OperatingIncomeLoss,OperatingCashFlow,CapEx,AssetsCurrent,LiabilitiesCurrent,LongTermDebt,StockholdersEquity,gross_profit_derived,GrossMargin,OperatingMargin,FreeCashFlow,CurrentRatio,DebtToEquity
2016-09-24,2016,215639.0,45687.0,84263.0,131376.0,60024.0,65824.0,12734.0,106869.0,79006.0,75427.0,128249.0,True,0.3907595564809705,0.27835410106706115,53090.0,1.352669417512594,0.58812934213912
2017-09-30,2017,229234.0,48351.0,88186.0,141048.0,61344.0,63598.0,12451.0,128645.0,100814.0,97207.0,134047.0,True,0.38469860491899105,0.2676042820872994,51147.0,1.2760628484139107,0.7251710221041874
2018-09-29,2018,265595.0,59531.0,101839.0,163756.0,70898.0,77434.0,13313.0,131339.0,116866.0,93735.0,107147.0,True,0.38343718820007905,0.26694026619477024,64121.0,1.1238426916297297,0.8748261733879623
2019-09-28,2019,260174.0,55256.0,98392.0,161782.0,63930.0,69391.0,10495.0,162819.0,105718.0,91807.0,90488.0,True,0.3781776810903472,0.24572017188496928,58896.0,1.540125617208044,1.0145765184333835
2020-09-26,2020,274515.0,57411.0,104956.0,169559.0,66288.0,80674.0,7309.0,143713.0,105392.0,98667.0,65339.0,True,0.38233247727810865,0.24147314354406862,73365.0,1.3636044481554577,1.5100782075024104
2021-09-25,2021,365817.0,94680.0,152836.0,212981.0,108949.0,104038.0,11085.0,134836.0,125481.0,109106.0,63090.0,True,0.4177935962516778,0.29782377527561593,92953.0,1.0745531195957954,1.729370740212395
2022-09-24,2022,394328.0,99803.0,170782.0,223546.0,119437.0,122151.0,10708.0,135405.0,153982.0,98959.0,50672.0,True,0.43309630561360085,0.30288744395528594,111443.0,0.8793560286267226,1.9529325860435744
2023-09-30,2023,383285.0,96995.0,169148.0,214137.0,114301.0,110543.0,10959.0,143566.0,145308.0,105103.0,62146.0,True,0.4413112957720756,0.2982141226502472,99584.0,0.9880116717592975,1.6912271103530396
2024-09-28,2024,391035.0,93736.0,180683.0,210352.0,123216.0,118254.0,9447.0,152987.0,176392.0,96662.0,56950.0,True,0.4620634981523393,0.31510222870075566,108807.0,0.8673125765340832,1.6973134328358208
2025-09-27,2025,416161.0,112010.0,195201.0,220960.0,133050.0,111482.0,12715.0,147957.0,165631.0,90678.0,73733.0,True,0.4690516410716045,0.31970799762591884,98767.0,0.8932929222186667,1.229815686327696
