period_of_report,fiscal_year,Revenues,NetIncomeLoss,GrossProfit,CostOfRevenue,OperatingIncomeLoss,OperatingCashFlow,CapEx,AssetsCurrent,LiabilitiesCurrent,LongTermDebt,StockholdersEquity,gross_profit_derived,GrossMargin,OperatingMargin,FreeCashFlow,CurrentRatio,DebtToEquity
2016-12-02,2016,5854.43,1168.782,5034.522,819.908,1493.602,2199.728,203.805,5839.774,2811.635,,7424.835,True,0.8599508406454599,0.2551233851971926,1995.923,2.0770028826643574,
2017-12-01,2017,7301.505,1693.954,6291.014,1010.491,2168.095,2912.853,178.122,7247.813,3527.457,,8459.869,True,0.8616051074401785,0.29693809700876733,2734.731,2.054685003956108,
2018-11-30,2018,9030.008,2590.774,7835.009,1194.999,2840.369,4029.304,266.579,4857.039,4301.126,,9362.114,True,0.8676635723910765,0.31454778334637135,3762.725,1.1292482480169146,
2019-11-29,2019,11171.297,2951.458,9498.577,1672.72,3268.121,4421.813,394.479,6494.925,8190.938,,10530.155,False,0.8502662672024563,0.2925462459730504,4027.3340000000003,0.7929403201440421,
2020-11-27,2020,12868.0,5260.0,11146.0,1722.0,4237.0,5727.0,419.0,8146.0,5512.0,4117.0,13264.0,True,0.8661796705004663,0.32926639726453216,5308.0,1.477866473149492,0.31038902291917975
2021-12-03,2021,15785.0,4822.0,13920.0,1865.0,5802.0,7230.0,348.0,8669.0,6932.0,4123.0,14797.0,True,0.8818498574596135,0.3675641431738993,6882.0,1.2505770340450086,0.27863756166790565
2022-12-02,2022,17606.0,4756.0,15441.0,2165.0,6098.0,7838.0,442.0,8996.0,8128.0,3629.0,14051.0,True,0.8770305577643985,0.34635919572872886,7396.0,1.106791338582677,0.2582734324959078
2023-12-01,2023,19409.0,5428.0,17055.0,2354.0,6650.0,7302.0,360.0,11084.0,8251.0,3634.0,16518.0,True,0.878716059559998,0.3426245556185275,6942.0,1.3433523209307963,0.22000242160067804
2024-11-29,2024,21505.0,5560.0,19147.0,2358.0,6741.0,8056.0,183.0,11232.0,10521.0,4129.0,14105.0,True,0.89035108114392,0.31346198558474775,7873.0,1.067579127459367,0.2927330733782347
2025-11-28,2025,23769.0,7130.0,21218.0,2551.0,8706.0,10031.0,179.0,10163.0,10200.0,6210.0,11623.0,True,0.8926753334174765,0.36627540073204595,9852.0,0.9963725490196078,0.5342854684676933
