period_of_report,fiscal_year,Revenues,NetIncomeLoss,GrossProfit,CostOfRevenue,OperatingIncomeLoss,OperatingCashFlow,CapEx,AssetsCurrent,LiabilitiesCurrent,LongTermDebt,StockholdersEquity,gross_profit_derived,GrossMargin,OperatingMargin,FreeCashFlow,CurrentRatio,DebtToEquity
2016-12-31,2016,23.781,0.014,16.65,7.131,0.19,3.914,0.099,4.433,8.57,,3.494,True,0.7001387662419578,0.007989571506664985,3.815,0.517269544924154,
2017-12-31,2017,20.129,-0.249,18.423000000000002,1.706,0.364,1.182,0.044,3.02,8.664,,3.488,True,0.9152466590491332,0.01808336231308063,1.138,0.34856879039704525,
2018-12-31,2018,23.664,3.751,,,4.078,7.47,0.099,7.68,10.171,,7.6,False,,0.1723292765382015,7.3709999999999996,0.7550879952807,
2019-12-31,2019,26.168,3.899,,,3.05,0.794,0.116,6.77,9.093,,11.847,False,,0.11655457046774687,0.678,0.7445287583855713,
2020-12-31,2020,26.183,9.658,,,6.059,9.148,0.007,26.952,13.989,,29.943,False,,0.23140969331245465,9.141,1.9266566588033456,
2021-12-31,2021,25.792,3.053,,,3.014,-2.631,1.425,23.284,14.224,,32.639,False,,0.11685794044665011,-4.056,1.6369516310461192,
2022-12-31,2022,46.914,15.493,,,11.12,6.483,0.215,23.892,16.226,,48.299,False,,0.2370294581574796,6.268,1.4724516208554173,
2023-12-31,2023,60.545,12.475,,,14.319,13.021,0.257,26.292,14.734,7.228,61.08,False,,0.2365017755388554,12.764000000000001,1.7844441427989686,0.1183366077275704
2024-12-31,2024,45.361,5.182,,,9.066,7.745,0.137,33.128,14.598,,65.201,False,,0.199863318709905,7.6080000000000005,2.2693519660227426,
2025-12-31,2025,50.978,3.587,13.978000000000002,37.0,5.711,6.137,8.47,33.594,15.537,,66.983,True,0.27419671230726983,0.11202871827062655,-2.333000000000001,2.1621934736435606,
