period_of_report,fiscal_year,Revenues,NetIncomeLoss,GrossProfit,CostOfRevenue,OperatingIncomeLoss,OperatingCashFlow,CapEx,AssetsCurrent,LiabilitiesCurrent,LongTermDebt,StockholdersEquity,gross_profit_derived,GrossMargin,OperatingMargin,FreeCashFlow,CurrentRatio,DebtToEquity
2017-06-30,2017,89950.0,21204.0,55689.0,34261.0,22326.0,39507.0,8129.0,159851.0,64527.0,77100.0,72394.0,True,0.6191106170094497,0.24820455808782657,31378.0,2.4772730794861064,1.0650053871867835
2018-06-30,2018,110360.0,16571.0,72007.0,38353.0,35058.0,43884.0,11632.0,169662.0,58488.0,76200.0,82718.0,True,0.652473722363175,0.3176694454512505,32252.0,2.900800164136233,0.9212021567252593
2019-06-30,2019,125843.0,39240.0,82933.0,42910.0,42959.0,52185.0,13925.0,175552.0,69420.0,72200.0,102330.0,True,0.6590195720063889,0.3413698020549415,38260.0,2.5288389513108616,0.705560441708199
2020-06-30,2020,143015.0,44281.0,96937.0,46078.0,52959.0,60675.0,15441.0,181915.0,72310.0,63327.0,118304.0,True,0.6778100199279796,0.37030381428521486,45234.0,2.5157654542940118,0.5352904381931296
2021-06-30,2021,168088.0,61271.0,115856.0,52232.0,69916.0,76740.0,20622.0,184406.0,88657.0,58146.0,141988.0,True,0.689258007710247,0.415948788729713,56118.0,2.0799936835218875,0.4095134800123954
2022-06-30,2022,198270.0,72738.0,135620.0,62650.0,83383.0,89035.0,23886.0,169684.0,95082.0,49781.0,166542.0,True,0.684016744842891,0.4205527815604983,65149.0,1.7846069708251824,0.2989095843691081
2023-06-30,2023,211915.0,72361.0,146052.0,65863.0,88523.0,87582.0,28107.0,184257.0,104149.0,47237.0,206223.0,True,0.6892008588349102,0.417728806361041,59475.0,1.76916725076573,0.2290578645446919
2024-06-30,2024,245122.0,88136.0,171008.0,74114.0,109433.0,118548.0,44477.0,159734.0,125286.0,44937.0,268477.0,True,0.6976444382797138,0.44644299573273716,74071.0,1.2749549031815206,0.16737746622615718
2025-06-30,2025,281724.0,101832.0,193893.0,87831.0,128528.0,136162.0,64551.0,191131.0,141218.0,43151.0,343479.0,True,0.6882374238616519,0.4562195624085985,71611.0,1.3534464445042416,0.12562922332951942
2026-06-30,2026,331839.0,133749.0,225465.0,106374.0,155237.0,182935.0,115948.0,207710.0,168825.0,40294.0,442387.0,True,0.6794409337058032,0.4678081840892722,66987.0,1.2303272619576484,0.09108314665666034
