period_of_report,fiscal_year,Revenues,NetIncomeLoss,GrossProfit,CostOfRevenue,OperatingIncomeLoss,OperatingCashFlow,CapEx,AssetsCurrent,LiabilitiesCurrent,LongTermDebt,StockholdersEquity,gross_profit_derived,GrossMargin,OperatingMargin,FreeCashFlow,CurrentRatio,DebtToEquity
2016-12-31,2016,8830.669,186.678,2800.768,6029.901,379.793,-1473.984,107.653,5720.291,4586.657,3364.311,2679.8,True,0.31716373923651764,0.043008406271370835,-1581.637,1.2471590964835608,1.2554336144488394
2017-12-31,2017,11692.713,558.929,4033.0469999999996,7659.666,838.679,-1785.948,173.302,7669.974,5466.312,6499.4,3581.956,True,0.34491969485610396,0.07172663863382261,-1959.25,1.4031350570549213,1.8144834833258698
2018-12-31,2018,15794.341,1211.242,5826.803,9967.538,1605.226,-2680.479,173.946,9694.135,6487.32,14873.195,5238.765,True,0.3689171330415115,0.1016329836110288,-2854.4249999999997,1.4943204589876868,2.839065123173114
2019-12-31,2019,20156.447,1866.916,7716.234,12440.213,2604.254,-2887.322,253.035,6178.504,6855.696,20723.441,7582.157,True,0.3828171701093948,0.12920203645017397,-3140.357,0.9012219911734709,2.733185424675326
2020-12-31,2020,24996.056,2761.395,9719.737000000001,15276.319,4585.289,2427.077,497.923,9761.58,7805.785,21857.087,11065.24,True,0.3888508251061688,0.18344049957321265,1929.1540000000002,1.2505571188547981,1.9752926280857894
2021-12-31,2021,29697.844,5116.228,12365.161,17332.683,6194.509,392.61,524.585,8069.825,8488.966,14693.072,15849.248,True,0.4163656122646479,0.20858446828665406,-131.97500000000002,0.950625199818211,0.927051680937796
2022-12-31,2022,31615.55,4491.924,12447.265,19168.285,5632.831,2026.257,407.729,9266.473,7930.974,14353.076,20777.401,True,0.39370705238403253,0.17816647187855345,1618.528,1.168390288506809,0.6908022808049957
2023-12-31,2023,33723.297,5407.99,14007.929,19715.368,6954.003,7274.301,348.552,9918.133,8860.655,14143.417,20588.313,True,0.41537839553469524,0.20620768485358948,6925.749000000001,1.119345353136986,0.6869633757753731
2024-12-31,2024,39000.966,8711.631,17962.502,21038.464,10417.614,7361.364,439.538,13100.379,10755.4,13798.351,24743.567,True,0.46056556650417324,0.26711169154117875,6921.825999999999,1.2180280603231866,0.5576540763100163
2025-12-31,2025,45183.036,10981.201,21907.707,23275.329,13326.603,10149.273,688.22,13020.191,10980.93,13463.971,26615.488,True,0.4848657580247595,0.2949470460550725,9461.053,1.185709316059751,0.5058697777775105
