period_of_report,fiscal_year,Revenues,NetIncomeLoss,GrossProfit,CostOfRevenue,OperatingIncomeLoss,OperatingCashFlow,CapEx,AssetsCurrent,LiabilitiesCurrent,LongTermDebt,StockholdersEquity,gross_profit_derived,GrossMargin,OperatingMargin,FreeCashFlow,CurrentRatio,DebtToEquity
2017-01-02,2016,2533.359,34.861,423.615,2109.744,173.453,298.336,85.139,1012.841,689.065,1019.682,820.847,False,0.16721475321894766,0.06846759578883214,213.197,1.4698772974973333,1.2422314999019306
2018-01-01,2017,2658.592,124.214,429.581,2229.011,212.76,332.755,151.345,1221.307,720.356,975.479,1011.38,False,0.16158214573729252,0.08002732273323623,181.41,1.695421430514912,0.9645029563566613
2018-12-31,2018,2847.261,173.584,457.034,2390.227,159.085,273.138,150.127,1206.914,673.214,1462.425,1227.087,False,0.16051707237236065,0.055872995134622364,123.01099999999997,1.792764262181119,1.1917859124903123
2019-12-30,2019,2689.308,41.301,401.683,2287.625,120.121,311.937,142.576,1342.684,946.666,1225.962,1279.037,True,0.14936295879832284,0.04466613716242245,169.36100000000002,1.4183291678374421,0.9585039369463119
2020-12-28,2020,2105.322,177.535,359.023,1746.299,28.092,287.176,103.289,1248.758,518.046,842.853,1444.009,False,0.1705311586541156,0.01334332705400884,183.887,2.410515668492759,0.5836895753419818
2022-01-03,2021,2248.74,54.414,372.011,1876.729,125.991,176.632,81.951,1407.413,558.148,927.818,1455.417,False,0.16543086350578548,0.05602737533018491,94.68100000000001,2.5215767144198313,0.6374928972246442
2023-01-02,2022,2495.046,94.583,457.965,2037.081,210.408,272.873,102.884,1493.056,761.325,879.407,1535.579,False,0.18354972212937157,0.08433030894019589,169.98899999999998,1.9611282960627852,0.5726875660581449
2024-01-01,2023,2232.567,-18.718,413.268,1819.299,42.316,187.284,160.242,1429.687,703.984,914.336,1511.039,False,0.18510889034909142,0.018953966443112348,27.042,2.0308515534443963,0.6051041700445853
2024-12-30,2024,2442.753,56.299,477.375,1965.378,116.043,236.894,185.739,1606.744,809.054,914.359,1563.824,False,0.19542499794289475,0.04750500766962521,51.155,1.9859539659899093,0.5846943134265749
2025-12-29,2025,2906.345,177.448,601.686,2304.659,264.684,291.882,292.565,1855.406,962.197,916.151,1762.253,False,0.20702497466749475,0.09107108756875046,-0.6829999999999927,1.9283015848105949,0.5198748420346
